Date,Close
2022-01-10 00:00:00-05:00,233.6999969482422
2022-01-11 00:00:00-05:00,221.38999938964844
2022-01-12 00:00:00-05:00,222.88999938964844
2022-01-13 00:00:00-05:00,210.1699981689453
2022-01-14 00:00:00-05:00,204.72999572753906
2022-01-18 00:00:00-05:00,186.61000061035156
2022-01-19 00:00:00-05:00,174.07000732421875
2022-01-20 00:00:00-05:00,167.52000427246094
2022-01-21 00:00:00-05:00,160.07000732421875
2022-01-24 00:00:00-05:00,157.3000030517578
2022-01-25 00:00:00-05:00,152.5399932861328
2022-01-26 00:00:00-05:00,154.9600067138672
2022-01-27 00:00:00-05:00,148.6199951171875
2022-01-28 00:00:00-05:00,159.47000122070312
2022-01-31 00:00:00-05:00,169.3300018310547
2022-02-01 00:00:00-05:00,172.74000549316406
2022-02-02 00:00:00-05:00,169.61000061035156
2022-02-03 00:00:00-05:00,163.9499969482422
2022-02-04 00:00:00-05:00,163.00999450683594
2022-02-07 00:00:00-05:00,160.27000427246094
2022-02-08 00:00:00-05:00,153.30999755859375
2022-02-09 00:00:00-05:00,164.02999877929688
2022-02-10 00:00:00-05:00,160.4199981689453
2022-02-11 00:00:00-05:00,161.32000732421875
2022-02-14 00:00:00-05:00,142.47000122070312
2022-02-15 00:00:00-05:00,151.1199951171875
2022-02-16 00:00:00-05:00,151.80999755859375
2022-02-17 00:00:00-05:00,146.36000061035156
2022-02-18 00:00:00-05:00,145.74000549316406
2022-02-22 00:00:00-05:00,144.97000122070312
2022-02-23 00:00:00-05:00,135.72999572753906
2022-02-24 00:00:00-05:00,156.22999572753906
2022-02-25 00:00:00-05:00,151.3300018310547
2022-02-28 00:00:00-05:00,153.60000610351562
2022-03-01 00:00:00-05:00,149.52000427246094
2022-03-02 00:00:00-05:00,147.86000061035156
2022-03-03 00:00:00-05:00,141.52000427246094
2022-03-04 00:00:00-05:00,136.4600067138672
2022-03-07 00:00:00-05:00,126.45999908447266
2022-03-08 00:00:00-05:00,129.27999877929688
2022-03-09 00:00:00-05:00,142.49000549316406
2022-03-10 00:00:00-05:00,139.52000427246094
2022-03-11 00:00:00-05:00,138.1999969482422
2022-03-14 00:00:00-04:00,150.07000732421875
2022-03-15 00:00:00-04:00,148.1199951171875
2022-03-16 00:00:00-04:00,169.36000061035156
2022-03-17 00:00:00-04:00,168.25999450683594
2022-03-18 00:00:00-04:00,178.92999267578125
2022-03-21 00:00:00-04:00,175.3800048828125
2022-03-22 00:00:00-04:00,186.72000122070312
2022-03-23 00:00:00-04:00,178.72999572753906
2022-03-24 00:00:00-04:00,179.67999267578125
2022-03-25 00:00:00-04:00,165.9199981689453
2022-03-28 00:00:00-04:00,173.0800018310547
2022-03-29 00:00:00-04:00,180.63999938964844
2022-03-30 00:00:00-04:00,174.9199981689453
2022-03-31 00:00:00-04:00,172.25999450683594
2022-04-01 00:00:00-04:00,176.58999633789062
2022-04-04 00:00:00-04:00,172.5399932861328
2022-04-05 00:00:00-04:00,162.0500030517578
2022-04-06 00:00:00-04:00,154.6199951171875
2022-04-07 00:00:00-04:00,159.0
2022-04-08 00:00:00-04:00,160.83999633789062
2022-04-11 00:00:00-04:00,160.0
2022-04-12 00:00:00-04:00,159.5
2022-04-13 00:00:00-04:00,169.66000366210938
2022-04-14 00:00:00-04:00,165.49000549316406
2022-04-18 00:00:00-04:00,154.75
2022-04-19 00:00:00-04:00,152.72000122070312
2022-04-20 00:00:00-04:00,150.1199951171875
2022-04-21 00:00:00-04:00,144.5
2022-04-22 00:00:00-04:00,140.33999633789062
2022-04-25 00:00:00-04:00,150.41000366210938
2022-04-26 00:00:00-04:00,145.7899932861328
2022-04-27 00:00:00-04:00,142.42999267578125
2022-04-28 00:00:00-04:00,142.52000427246094
2022-04-29 00:00:00-04:00,134.41000366210938
2022-05-02 00:00:00-04:00,142.0800018310547
2022-05-03 00:00:00-04:00,146.5399932861328
2022-05-04 00:00:00-04:00,155.0500030517578
2022-05-05 00:00:00-04:00,142.02000427246094
2022-05-06 00:00:00-04:00,134.39999389648438
2022-05-09 00:00:00-04:00,135.8000030517578
2022-05-10 00:00:00-04:00,132.32000732421875
2022-05-11 00:00:00-04:00,123.43000030517578
2022-05-12 00:00:00-04:00,130.1699981689453
2022-05-13 00:00:00-04:00,137.91000366210938
2022-05-16 00:00:00-04:00,136.25999450683594
2022-05-17 00:00:00-04:00,142.27999877929688
2022-05-18 00:00:00-04:00,137.7100067138672
2022-05-19 00:00:00-04:00,143.3800048828125
2022-05-20 00:00:00-04:00,136.25
2022-05-23 00:00:00-04:00,137.6199951171875
2022-05-24 00:00:00-04:00,132.05999755859375
2022-05-25 00:00:00-04:00,130.85000610351562
2022-05-26 00:00:00-04:00,135.8000030517578
2022-05-27 00:00:00-04:00,147.66000366210938
2022-05-31 00:00:00-04:00,145.3300018310547
2022-06-01 00:00:00-04:00,143.39999389648438
2022-06-02 00:00:00-04:00,140.17999267578125
2022-06-03 00:00:00-04:00,137.14999389648438
2022-06-06 00:00:00-04:00,140.0
2022-06-07 00:00:00-04:00,145.33999633789062
2022-06-08 00:00:00-04:00,148.52999877929688
2022-06-09 00:00:00-04:00,134.0399932861328
2022-06-10 00:00:00-04:00,127.12000274658203
2022-06-13 00:00:00-04:00,117.12999725341797
2022-06-14 00:00:00-04:00,121.55999755859375
2022-06-15 00:00:00-04:00,128.52999877929688
2022-06-16 00:00:00-04:00,121.08000183105469
2022-06-17 00:00:00-04:00,128.02999877929688
2022-06-21 00:00:00-04:00,129.99000549316406
2022-06-22 00:00:00-04:00,136.07000732421875
2022-06-23 00:00:00-04:00,143.25999450683594
2022-06-24 00:00:00-04:00,144.27000427246094
2022-06-27 00:00:00-04:00,145.36000061035156
2022-06-28 00:00:00-04:00,142.19000244140625
2022-06-29 00:00:00-04:00,142.80999755859375
2022-06-30 00:00:00-04:00,142.85000610351562
2022-07-01 00:00:00-04:00,149.9499969482422
2022-07-05 00:00:00-04:00,155.5399932861328
2022-07-06 00:00:00-04:00,159.55999755859375
2022-07-07 00:00:00-04:00,172.39999389648438
2022-07-08 00:00:00-04:00,176.22999572753906
2022-07-11 00:00:00-04:00,175.25999450683594
2022-07-12 00:00:00-04:00,173.25
2022-07-13 00:00:00-04:00,171.24000549316406
2022-07-14 00:00:00-04:00,159.9199981689453
2022-07-15 00:00:00-04:00,166.91000366210938
2022-07-18 00:00:00-04:00,163.39999389648438
2022-07-19 00:00:00-04:00,167.13999938964844
2022-07-20 00:00:00-04:00,166.88999938964844
2022-07-21 00:00:00-04:00,168.88999938964844
2022-07-22 00:00:00-04:00,163.52000427246094
2022-07-25 00:00:00-04:00,165.69000244140625
2022-07-26 00:00:00-04:00,160.89999389648438
2022-07-27 00:00:00-04:00,158.02000427246094
2022-07-28 00:00:00-04:00,158.07000732421875
2022-07-29 00:00:00-04:00,164.08999633789062
2022-08-01 00:00:00-04:00,161.50999450683594
2022-08-02 00:00:00-04:00,160.80999755859375
2022-08-03 00:00:00-04:00,186.49000549316406
2022-08-04 00:00:00-04:00,194.17999267578125
2022-08-05 00:00:00-04:00,186.83999633789062
2022-08-08 00:00:00-04:00,182.94000244140625
2022-08-09 00:00:00-04:00,171.13999938964844
2022-08-10 00:00:00-04:00,174.27000427246094
2022-08-11 00:00:00-04:00,171.80999755859375
2022-08-12 00:00:00-04:00,171.17999267578125
2022-08-15 00:00:00-04:00,176.77999877929688
2022-08-16 00:00:00-04:00,167.9600067138672
2022-08-17 00:00:00-04:00,158.0
2022-08-18 00:00:00-04:00,150.0
2022-08-19 00:00:00-04:00,146.10000610351562
2022-08-22 00:00:00-04:00,142.47000122070312
2022-08-23 00:00:00-04:00,143.77999877929688
2022-08-24 00:00:00-04:00,141.42999267578125
2022-08-25 00:00:00-04:00,142.0500030517578
2022-08-26 00:00:00-04:00,136.6999969482422
2022-08-29 00:00:00-04:00,137.25999450683594
2022-08-30 00:00:00-04:00,135.92999267578125
2022-08-31 00:00:00-04:00,132.27000427246094
2022-09-01 00:00:00-04:00,138.9499969482422
2022-09-02 00:00:00-04:00,138.57000732421875
2022-09-06 00:00:00-04:00,130.0800018310547
2022-09-07 00:00:00-04:00,134.89999389648438
2022-09-08 00:00:00-04:00,141.27999877929688
2022-09-09 00:00:00-04:00,142.27999877929688
2022-09-12 00:00:00-04:00,140.32000732421875
2022-09-13 00:00:00-04:00,131.3000030517578
2022-09-14 00:00:00-04:00,139.39999389648438
